filename,sample number,category,set,offset augment,noise augment,original filename
0-0-0-2-3.wav,0,0,0,2,3,32851.wav
1-1-0-2-3.wav,1,1,0,2,3,41348.wav
2-1-0-0-2.wav,2,1,0,0,2,194684.wav
3-3-0-2-3.wav,3,3,0,2,3,220815.wav
4-3-0-2-2.wav,4,3,0,2,2,219666.wav
5-1-0-3-0.wav,5,1,0,3,0,88922.wav
6-0-0-3-1.wav,6,0,0,3,1,152309.wav
7-2-0-1-0.wav,7,2,0,1,0,151071-6-0-0.wav
8-3-0-1-2.wav,8,3,0,1,2,321230.wav
9-0-0-2-3.wav,9,0,0,2,3,180794.wav
10-0-0-0-3.wav,10,0,0,0,3,15564.wav
11-2-0-3-3.wav,11,2,0,3,3,148828-6-1-0.wav
12-1-0-1-0.wav,12,1,0,1,0,173576.wav
13-0-0-1-0.wav,13,0,0,1,0,85172.wav
14-1-0-1-0.wav,14,1,0,1,0,115916.wav
15-2-0-3-0.wav,15,2,0,3,0,148833-6-1-0.wav
16-0-0-0-1.wav,16,0,0,0,1,119208.wav
17-1-0-3-2.wav,17,1,0,3,2,71897.wav
18-3-0-3-3.wav,18,3,0,3,3,212710.wav
19-2-0-0-2.wav,19,2,0,0,2,135544-6-9-0.wav
20-2-0-1-1.wav,20,2,0,1,1,135544-6-4-0.wav
21-0-0-2-1.wav,21,0,0,2,1,161102.wav
22-3-0-1-3.wav,22,3,0,1,3,219658.wav
23-1-0-0-3.wav,23,1,0,0,3,194683.wav
24-2-0-0-0.wav,24,2,0,0,0,148841-6-1-0.wav
25-3-0-1-3.wav,25,3,0,1,3,336537.wav
26-2-0-1-0.wav,26,2,0,1,0,135544-6-10-0.wav
27-2-0-1-2.wav,27,2,0,1,2,35800-6-0-0.wav
28-1-0-3-0.wav,28,1,0,3,0,65918.wav
29-1-0-3-1.wav,29,1,0,3,1,216286.wav
30-0-0-2-3.wav,30,0,0,2,3,20434.wav
31-2-0-0-3.wav,31,2,0,0,3,145608-6-3-0.wav
32-0-0-0-0.wav,32,0,0,0,0,5354.wav
33-2-0-3-2.wav,33,2,0,3,2,148838-6-1-0.wav
34-3-0-1-1.wav,34,3,0,1,1,338936.wav
35-0-0-2-1.wav,35,0,0,2,1,69575.wav
36-3-0-3-3.wav,36,3,0,3,3,179321.wav
37-1-0-3-1.wav,37,1,0,3,1,65918.wav
38-3-0-2-0.wav,38,3,0,2,0,110139.wav
39-3-0-1-2.wav,39,3,0,1,2,104030.wav
40-3-0-3-1.wav,40,3,0,3,1,175385.wav
41-0-0-2-1.wav,41,0,0,2,1,63231.wav
42-2-0-0-2.wav,42,2,0,0,2,76091-6-2-0.wav
43-0-0-3-3.wav,43,0,0,3,3,130707.wav
44-2-0-3-3.wav,44,2,0,3,3,136399-6-7-0.wav
45-3-0-1-0.wav,45,3,0,1,0,202037.wav
46-0-0-2-2.wav,46,0,0,2,2,64128.wav
47-3-0-2-0.wav,47,3,0,2,0,149919.wav
48-1-0-2-3.wav,48,1,0,2,3,204121.wav
49-1-0-0-3.wav,49,1,0,0,3,88944.wav
50-1-0-3-1.wav,50,1,0,3,1,179265.wav
51-1-0-1-1.wav,51,1,0,1,1,88920.wav
52-3-0-2-1.wav,52,3,0,2,1,316416.wav
53-0-0-0-2.wav,53,0,0,0,2,91152.wav
54-1-0-2-3.wav,54,1,0,2,3,173607.wav
55-0-0-0-0.wav,55,0,0,0,0,116925.wav
56-0-0-3-1.wav,56,0,0,3,1,34936.wav
57-0-0-2-2.wav,57,0,0,2,2,64764.wav
58-2-0-2-2.wav,58,2,0,2,2,37236-6-0-0.wav
59-3-0-3-0.wav,59,3,0,3,0,210995.wav
60-2-0-2-3.wav,60,2,0,2,3,136399-6-4-0.wav
61-0-0-3-3.wav,61,0,0,3,3,70157.wav
62-0-0-3-0.wav,62,0,0,3,0,4288.wav
63-3-0-3-1.wav,63,3,0,3,1,56899.wav
64-1-0-0-0.wav,64,1,0,0,0,216296.wav
65-0-0-1-0.wav,65,0,0,1,0,119208.wav
66-0-0-3-2.wav,66,0,0,3,2,120341.wav
67-2-0-2-2.wav,67,2,0,2,2,77247-6-0-0.wav
68-3-0-2-3.wav,68,3,0,2,3,9706.wav
69-2-0-0-3.wav,69,2,0,0,3,148838-6-1-0.wav
70-2-0-2-0.wav,70,2,0,2,0,135527-6-4-0.wav
71-3-0-0-1.wav,71,3,0,0,1,145801.wav
72-3-0-0-0.wav,72,3,0,0,0,13797.wav
73-1-0-1-2.wav,73,1,0,1,2,216287.wav
74-3-0-1-2.wav,74,3,0,1,2,219867.wav
75-1-0-2-2.wav,75,1,0,2,2,89889.wav
76-2-0-1-3.wav,76,2,0,1,3,34708-6-3-0.wav
